Year,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
1986-11 ,1121,2595,1774,301
1986-12 ,9,178,815,77
1987-1 ,124,1286,1712,210
1987-2 ,115,525,1565,43
1987-3 ,96,1130,2246,156
1987-4 ,723,2724,6077,1069
1987-5 ,11,740,4162,770
1987-6 ,17,901,2766,182
1987-7 ,323,2996,2521,123
1987-8 ,105,3623,3368,426
1987-9 ,4,457,1327,126
1987-10 ,37,2258,2302,195
1987-11 ,199,1061,4962,462
1987-12 ,230,1191,3024,278
1988-1 ,404,2763,1284,156
1988-2 ,591,2623,2766,175
1988-3 ,47,1321,2167,136
1988-4 ,21,910,2079,120
1988-5 ,125,1692,2879,340
1988-6 ,269,3299,7561,2341
1988-7 ,142,2705,5400,673
1988-8 ,114,2199,5772,1816
1988-9 ,22,1322,2321,270
1988-10 ,428,3243,2307,160
1988-11 ,30,551,2744,237
1988-12 ,347,1313,1876,112
1989-1 ,256,698,2773,287
1989-2 ,4282,4252,2692,568
1989-3 ,1571,4552,4129,894
1989-4 ,308,2470,4890,1250
1989-5 ,401,2992,3160,308
1989-6 ,98,2194,1419,115
1989-7 ,32,1513,2856,255
1989-8 ,224,3014,1774,160
1989-9 ,388,4325,2291,128
1989-10 ,397,3292,2593,127
1989-11 ,570,2598,2832,251
1989-12 ,5825,5580,1451,238
1990-1 ,7,140,3629,506
1990-2 ,357,1578,3393,441
1990-3 ,37,1000,4047,1056
1990-4 ,69,1926,3756,1393
1990-5 ,98,2192,1397,65
1990-6 ,254,1588,3954,575
1990-7 ,259,2984,2667,333
1990-8 ,60,1856,2441,180
1990-9 ,61,1534,4929,681
1990-10 ,47,1222,3289,338
1990-11 ,100,460,4365,881
1990-12 ,4323,4220,2624,285
1991-1 ,66,557,745,56
1991-2 ,112,471,3979,272
1991-3 ,23,826,2594,413
1991-4 ,17,571,2605,329
1991-5 ,59,2405,6240,975
1991-6 ,58,1351,2324,402
1991-7 ,17,1450,2379,233
1991-8 ,13,1278,2104,164
1991-9 ,444,3219,3278,395
1991-10 ,1995,2673,3936,353
1991-11 ,1835,4721,1913,102
1991-12 ,14,332,2592,519
1992-1 ,30,417,2411,232
1992-2 ,5,128,3611,292
1992-3 ,88,711,1596,48
1992-4 ,284,2205,3443,497
1992-5 ,247,2910,2466,223
1992-6 ,209,3060,1530,295
1992-7 ,292,4475,1505,70
1992-8 ,745,6398,1591,135
1992-9 ,271,1986,813,9
1992-10 ,187,1541,2244,235
1992-11 ,268,1803,924,48
1992-12 ,116,1025,800,33
1993-1 ,225,1047,1408,172
1993-2 ,501,2146,526,17
1993-3 ,1211,2764,1691,118
1993-4 ,71,1685,598,12
1993-5 ,15,856,1590,110
1993-6 ,470,3377,1271,70
1993-7 ,193,2985,2763,232
1993-8 ,177,2084,1999,122
1993-9 ,309,2968,1984,263
1993-10 ,1029,2699,2262,169
1993-11 ,1625,2837,1168,191
1993-12 ,306,1246,1302,79
1994-1 ,2198,2922,1583,64
1994-2 ,640,2778,2009,449
1994-3 ,30,609,2890,160
1994-4 ,153,1565,3913,709
1994-5 ,233,2063,1542,79
1994-6 ,10,910,4173,752
1994-7 ,45,2029,1886,197
1994-8 ,99,2041,1976,179
1994-9 ,31,1162,1438,83
1994-10 ,7,749,1834,35
1994-11 ,301,1553,2378,238
1994-12 ,11,171,2811,194
1995-1 ,15,309,2677,953
1995-2 ,322,1512,4308,576
1995-3 ,990,2956,3224,236
1995-4 ,474,2153,1252,59
1995-5 ,89,2035,1835,86
1995-6 ,270,2915,2008,446
1995-7 ,192,2242,3124,553
1995-8 ,27,935,5488,478
1995-9 ,919,3160,2833,369
1995-10 ,68,1118,2244,175
1995-11 ,228,1448,2134,124
1995-12 ,230,1658,3408,559
1996-1 ,709,2151,2571,271
1996-2 ,4345,3510,6673,919
1996-3 ,2757,4727,783,17
1996-4 ,199,2723,2387,233
1996-5 ,126,2431,4733,951
1996-6 ,40,1494,2110,238
1996-7 ,35,2112,2141,107
1996-8 ,19,1095,1760,195
1996-9 ,164,1912,1328,48
1996-10 ,554,2917,2208,171
1996-11 ,1001,2603,1436,113
1996-12 ,611,2426,2304,232
1997-1 ,548,3549,3704,979
1997-2 ,3,194,2147,439
1997-3 ,96,780,3272,326
1997-4 ,1852,4989,869,18
1997-5 ,59,2461,1805,156
1997-6 ,192,2846,1439,93
1997-7 ,280,3116,1622,74
1997-8 ,56,2879,1931,119
1997-9 ,12,791,2121,57
1997-10 ,643,2756,5715,885
1997-11 ,123,1537,1350,149
1997-12 ,21,401,877,71
1998-1 ,59,405,3633,567
1998-2 ,5,109,3247,260
1998-3 ,1186,3024,3894,1726
1998-4 ,19,651,1431,119
1998-5 ,17,901,4294,541
1998-6 ,822,3963,5514,781
1998-7 ,7,786,4430,635
1998-8 ,10,692,2529,266
1998-9 ,2,384,6592,724
1998-10 ,9,396,2513,239
1998-11 ,4,83,1463,30
1998-12 ,757,2325,6431,3110
1999-1 ,160,1138,2960,447
1999-2 ,153,361,3568,379
1999-3 ,68,999,1293,163
1999-4 ,168,2319,1919,131
1999-5 ,188,2109,950,36
1999-6 ,221,2314,2409,101
1999-7 ,131,2125,4129,576
1999-8 ,56,1291,2878,377
1999-9 ,118,2488,2726,121
1999-10 ,39,1474,1213,30
1999-11 ,1,233,6779,865
1999-12 ,26,307,3000,531
2000-1 ,31,627,3589,644
2000-2 ,2,165,5002,1930
2000-3 ,16,319,2549,419
2000-4 ,48,1161,1523,91
2000-5 ,12,789,4949,981
2000-6 ,101,2410,2068,128
2000-7 ,55,2086,2314,174
2000-8 ,15,1296,3990,346
2000-9 ,529,3571,5194,948
2000-10 ,149,2627,2783,208
2000-11 ,617,3214,1863,362
2000-12 ,853,3630,456,30
2001-1 ,39,701,838,42
2001-2 ,56,861,1714,158
2001-3 ,59,725,884,49
2001-4 ,62,1406,3874,621
2001-5 ,56,965,3118,450
2001-6 ,168,2769,2156,196
2001-7 ,107,2050,2870,212
2001-8 ,8,731,4217,789
2001-9 ,182,1961,1777,130
2001-10 ,266,1904,2060,203
2001-11 ,262,877,5314,573
2001-12 ,43,281,3519,1173
2002-1 ,45,542,4412,1269
2002-2 ,63,709,2361,411
2002-3 ,2092,4554,1389,133
2002-4 ,344,1926,4289,1703
2002-5 ,324,4046,2378,221
2002-6 ,70,1440,3191,389
2002-7 ,26,1046,4579,516
2002-8 ,16,1534,3615,282
2002-9 ,24,607,4328,339
2002-10 ,917,3851,3051,1001
2002-11 ,102,1194,1609,227
2002-12 ,4,314,1743,221
2003-1 ,160,1061,3083,444
2003-2 ,192,1343,1263,172
2003-3 ,975,2712,2556,288
2003-4 ,334,3729,1810,203
2003-5 ,32,1349,3376,656
2003-6 ,184,2576,1429,145
2003-7 ,25,1025,4092,403
2003-8 ,21,667,4156,465
2003-9 ,135,1691,2531,204
2003-10 ,257,1251,4182,448
2003-11 ,210,1500,4150,749
2003-12 ,21,231,1512,58
2004-1 ,555,1982,1772,542
2004-2 ,100,826,997,55
2004-3 ,9,227,5862,808
2004-4 ,62,1143,2361,264
2004-5 ,237,2233,3321,248
2004-6 ,31,1535,1848,83
2004-7 ,133,3108,1307,89
2004-8 ,613,5316,1629,72
2004-9 ,50,879,2081,63
2004-10 ,19,753,1782,36
2004-11 ,256,688,2199,355
2004-12 ,482,1825,2217,288
2005-1 ,158,1344,5079,852
2005-2 ,2,176,2364,125
2005-3 ,51,1201,1765,166
2005-4 ,16,598,1419,145
2005-5 ,603,4041,2106,217
2005-6 ,35,1557,3126,319
2005-7 ,85,1308,4179,343
2005-8 ,16,1058,3129,218
2005-9 ,4,466,3364,238
2005-10 ,67,1292,4613,1130
2005-11 ,276,1515,4222,410
2005-12 ,303,1200,2165,206
2006-1 ,7,71,4980,407
2006-2 ,268,1466,1662,172
2006-3 ,125,1078,1866,241
2006-4 ,2,255,3397,415
2006-5 ,25,1675,4503,1317
2006-6 ,24,908,2683,294
2006-7 ,7,947,4803,1008
2006-8 ,13,994,3430,876
2006-9 ,51,1977,1080,42
2006-10 ,451,2731,3089,434
2006-11 ,566,1181,3037,524
2006-12 ,12,448,2881,319
2007-1 ,340,1547,2783,656
2007-2 ,538,2706,1209,47
2007-3 ,462,1507,7061,1288
2007-4 ,1811,4370,2008,290
2007-5 ,15,825,2071,131
2007-6 ,57,1160,1988,158
2007-7 ,31,1426,3273,444
2007-8 ,17,1160,6107,1179
2007-9 ,66,1099,3858,484
2007-10 ,23,775,5720,1834
2007-11 ,59,983,2237,93
2007-12 ,59,296,2590,482
2008-1 ,116,956,2113,922
2008-2 ,86,1012,1373,257
2008-3 ,281,1233,786,34
2008-4 ,226,2204,1165,77
2008-5 ,133,2326,2079,351
2008-6 ,68,1661,2851,399
2008-7 ,10,1657,1030,60
2008-8 ,23,1866,2191,238
2008-9 ,22,543,2694,78
2008-10 ,381,2565,2253,100
2008-11 ,412,1628,3565,918
2008-12 ,456,2288,2147,217
2009-1 ,439,1600,2491,229
2009-2 ,137,838,2499,347
2009-3 ,1086,3287,2088,124
2009-4 ,230,2385,3056,611
2009-5 ,18,1151,2073,199
2009-6 ,142,2590,2875,323
2009-7 ,100,3448,1957,292
2009-8 ,222,2284,2095,129
2009-9 ,42,1061,1489,61
2009-10 ,559,4130,1469,270
2009-11 ,34,158,2607,154
2009-12 ,381,1555,541,107
2010-1 ,393,2047,1063,55
2010-2 ,10,640,471,31
2010-3 ,41,878,1430,329
2010-4 ,29,888,2356,267
2010-5 ,209,3219,3351,485
2010-6 ,3,826,4043,323
2010-7 ,44,1548,4360,371
2010-8 ,78,1588,6560,708
2010-9 ,20,688,3855,318
2010-10 ,11,635,4079,367
2010-11 ,977,1903,2772,360
2010-12 ,387,1786,1900,95
2011-1 ,210,1308,1358,142
2011-2 ,1784,3344,2830,469
2011-3 ,63,790,1932,154
2011-4 ,56,1058,3507,461
2011-5 ,454,3944,3282,764
2011-6 ,54,1431,4155,880
2011-7 ,6,737,6535,1134
2011-8 ,7,363,5942,1600
2011-9 ,5,1383,3433,946
2011-10 ,84,1812,3569,723
2011-11 ,78,587,1545,53
2011-12 ,87,372,1856,107
2012-1 ,47,299,3585,530
2012-2 ,16,195,1560,172
2012-3 ,32,869,9849,3899
2012-4 ,7,562,4232,961
2012-5 ,27,720,4236,880
2012-6 ,203,1728,4941,1032
2012-7 ,21,941,6676,1293
2012-8 ,16,1399,4108,505
2012-9 ,11,1237,4703,414
2012-10 ,194,3057,2449,203
2012-11 ,27,446,2830,285
2012-12 ,35,349,4323,1080
2013-1 ,582,1388,3403,1029
2013-2 ,15,537,343,15
2013-3 ,94,1287,1316,54
2013-4 ,466,3930,1803,226
2013-5 ,976,4048,2856,298
2013-6 ,63,1423,3348,594
2013-7 ,147,2851,3295,340
2013-8 ,41,1314,2394,167
2013-9 ,40,1102,5289,914
2013-10 ,110,1425,2484,283
2013-11 ,811,3089,915,60
2013-12 ,810,2426,2126,475
