id,name,latitude,longitude,locality,state,country
USC00026796 , PRESCOTT ,34.5706,-112.4322, Prescott , AZ , United States
USC00026865 , QUARTZSITE ,33.665,-114.2272, Quartzsite , AZ , United States
USC00027281 , ROOSEVELT 1 WNW ,33.6731,-111.1508, Apache Junction , AZ , United States
USC00027390 , SAFFORD AGRICULTRL CTR ,32.815,-109.6808, Safford , AZ , United States
USC00027480 , SAN CARLOS RESERVOIR ,33.1819,-110.5261, Peridot , AZ , United States
USC00027488 , SANDERS ,35.2239,-109.3222, Sanders , AZ , United States
USC00027619 , SASABE ,31.4831,-111.5436,  , Son. , Mexico
USC00028012 , SNOWFLAKE ,34.5081,-110.0839, Snowflake , AZ , United States
USC00028162 , SPRINGERVILLE ,34.1311,-109.275, Springerville , AZ , United States
USC00028499 , TEMPE ASU ,33.4258,-111.9217, Tempe , AZ , United States
USC00028619 , TOMBSTONE ,31.7119,-110.0686, Tombstone , AZ , United States
USC00028792 , TUBA CITY ,36.1306,-111.2436, Tuba City , AZ , United States
USC00028865 , TUMACACORI NM ,31.5678,-111.0497, Tumacacori-Carmen , AZ , United States
USC00029158 , WALNUT CREEK ,34.9281,-112.8097, Prescott , AZ , United States
USC00029287 , WICKENBURG ,33.9792,-112.7403, Wickenburg , AZ , United States
USC00029309 , WIKIEUP ,34.7061,-113.6136, Wikieup , AZ , United States
USC00029334 , WILLCOX ,32.2553,-109.8369, Willcox , AZ , United States
USC00029542 , WUPATKI NM ,35.5247,-111.3703, Cameron , AZ , United States
USC00029645 , YUCCA 1 NNE ,34.8775,-114.1344, Yucca , AZ , United States
USC00030130 , ALUM FORK ,34.7961,-92.8417, Paron , AR , United States
USC00030220 , ARKADELPHIA 2 N ,34.1433,-93.0589, Arkadelphia , AR , United States
USC00030458 , BATESVILLE LVSTK ,35.8306,-91.7944, Batesville , AR , United States
USC00030460 , BATESVILLE L&D 1 ,35.7597,-91.6386, Batesville , AR , United States
USC00030764 , BLAKELY MTN DAM ,34.5697,-93.1947, Royal , AR , United States
USC00030936 , BRINKLEY ,34.8822,-91.2153, Brinkley , AR , United States
USC00031132 , CALICO ROCK 2 WSW ,36.1092,-92.1636, Calico Rock , AR , United States
USC00031152 , CAMDEN 1 ,33.59,-92.8236, Camden , AR , United States
USC00031730 , CROSSETT 2 SSE ,33.1111,-91.9481, Crossett , AR , United States
USC00031838 , DARDANELLE ,35.2342,-93.1675, Dardanelle , AR , United States
USC00031948 , DEQUEEN ,34.0464,-94.3481, De Queen , AR , United States
USC00031968 , DES ARC ,34.9772,-91.4978, Des Arc , AR , United States
USC00032366 , EVENING SHADE 1 NNE ,36.0717,-91.6169, Evening Shade , AR , United States
USC00032444 , FAYETTEVILLE EXP STN ,36.1006,-94.1744, Fayetteville , AR , United States
USC00032540 , FORDYCE ,33.8228,-92.3989, Fordyce , AR , United States
USC00032794 , GILBERT ,35.9914,-92.7147, Gilbert , AR , United States
USC00032930 , GRAVETTE ,36.4261,-94.4481, Gravette , AR , United States
USC00033428 , HOPE 3 NE ,33.7089,-93.5561, Hope , AR , United States
USC00033466 , HOT SPRINGS 1 NNE ,34.5128,-93.0486, Hot Springs , AR , United States
USC00033734 , JONESBORO 2 NE ,35.8489,-90.6589, Jonesboro , AR , United States
USC00033821 , KEISER ,35.6872,-90.0964, Osceola , AR , United States
USC00033862 , KEO ,34.6033,-91.9928, England , AR , United States
USC00034106 , LEAD HILL ,36.4194,-92.9158, Lead Hill , AR , United States
USC00034562 , MALVERN ,34.3947,-92.8364, Malvern , AR , United States
USC00034572 , MAMMOTH SPRING ,36.4947,-91.535, Mammoth Spring , AR , United States
USC00034638 , MARIANNA 2 S ,34.7392,-90.7664, Marianna , AR , United States
USC00034756 , MENA ,34.5731,-94.2494, Mena , AR , United States
USC00034938 , MORRILTON ,35.1581,-92.7672, Morrilton , AR , United States
USC00035036 , MTN HOME 1 NNW ,36.3458,-92.3939, Mountain Home , AR , United States
USC00035200 , NIMROD DAM ,34.9553,-93.1594, Plainview , AR , United States
USC00035754 , PINE BLUFF ,34.2256,-92.0189, Pine Bluff , AR , United States
USC00035820 , POCAHONTAS 1 ,36.2642,-90.9683, Pocahontas , AR , United States
USC00035908 , PRESCOTT 2 NNW ,33.8203,-93.3878, Prescott , AR , United States
USC00036253 , ROHWER 2 NNE ,33.8103,-91.2778, Watson , AR , United States
USC00036506 , SEARCY ,35.2683,-91.7164, Searcy , AR , United States
USC00036920 , STUTTGART 9 ESE ,34.4744,-91.4172, Crocketts Bluff , AR , United States
USC00036928 , SUBIACO ,35.3028,-93.6369, Subiaco , AR , United States
USC00038052 , WYNNE ,35.2547,-90.7964, Wynne , AR , United States
USC00040161 , ALTURAS ,41.4931,-120.5528, Alturas , CA , United States
USC00040212 , ANGWIN PAC UNION COL ,38.5731,-122.4406, Angwin , CA , United States
USC00040232 , ANTIOCH PUMPING PLANT #3 ,37.9833,-121.7525, Antioch , CA , United States
USC00040343 , ASH MTN ,36.4914,-118.8253, Three Rivers , CA , United States
USC00040379 , AUBERRY 2 NW ,37.0919,-119.5128, Auberry , CA , United States
USC00040693 , BERKELEY ,37.8744,-122.2606, Berkeley , CA , United States
USC00040738 , BIG BAR 4 E ,40.7406,-123.2078, Big Bar , CA , United States
USC00040924 , BLYTHE ,33.6131,-114.5972, Blythe , CA , United States
USC00040931 , BOCA ,39.3886,-120.0936, Truckee , CA , United States
USC00041194 , BURBANK VLY PUMP PLT ,34.1867,-118.3481, Burbank , CA , United States
USC00041214 , BURNEY ,40.8803,-121.6547, Burney , CA , United States
USC00041244 , BUTTONWILLOW ,35.4047,-119.4731, Buttonwillow , CA , United States
USC00041253 , CACHUMA LAKE ,34.5822,-119.9817, Santa Ynez , CA , United States
USC00041316 , CALLAHAN ,41.3111,-122.8045, Callahan , CA , United States
USC00041534 , CARMEL VALLEY ,36.4806,-121.7244, Carmel Valley , CA , United States
USC00041614 , CEDARVILLE ,41.5306,-120.1803, Cedarville , CA , United States
USC00041715 , CHICO UNIV FARM ,39.6911,-121.8211, Chico , CA , United States
USC00041758 , CHULA VISTA ,32.64,-117.0858, Chula Vista , CA , United States
USC00041806 , CLEARLAKE 4 SE ,38.9239,-122.5672, Lower Lake , CA , United States
USC00041864 , COALINGA ,36.1356,-120.3606, Coalinga , CA , United States
USC00041948 , COLUSA 2 SSW ,39.1875,-122.0269, Colusa , CA , United States
USC00042012 , CORCORAN IRRIG DIST ,36.0975,-119.5817, Corcoran , CA , United States
USC00042081 , COVELO ,39.8158,-123.2444, Covelo , CA , United States
USC00042147 , CRESCENT CITY 3 NNW ,41.7958,-124.2147, Crescent City , CA , United States
USC00042214 , CULVER CITY ,34.005,-118.4139, Culver City , CA , United States
USC00042239 , CUYAMACA ,32.9897,-116.5872, Julian , CA , United States
USC00042294 , DAVIS 2 WSW EXP FARM ,38.535,-121.7761, Davis , CA , United States
USC00042402 , DE SABLA ,39.8717,-121.6108, Magalia , CA , United States
USC00042467 , DONNER MEM SP ,39.3239,-120.2331, Truckee , CA , United States
USC00042506 , DOYLE 4 SSE ,39.9717,-120.0828, Doyle , CA , United States
USC00042598 , EAGLE MTN ,33.8089,-115.4508, Desert Center , CA , United States
USC00042709 , EL CAPITAN DAM ,32.8839,-116.8164, Lakeside , CA , United States
USC00042713 , EL CENTRO 2 SSW ,32.7669,-115.5617, El Centro , CA , United States
USC00042805 , ELSINORE ,33.6692,-117.3319, Lake Elsinore , CA , United States
USC00043083 , FIVE POINTS 5 SSW ,36.3642,-120.1561, Coalinga , CA , United States
USC00043157 , FT BIDWELL ,41.8714,-120.1575, Fort Bidwell , CA , United States
USC00043161 , FT BRAGG 5 N ,39.5092,-123.7567, Fort Bragg , CA , United States
USC00043261 , FRIANT GOVERNMENT CAMP ,36.9969,-119.7072, Friant , CA , United States
USC00043463 , GLENNVILLE ,35.7269,-118.7006, Woody , CA , United States
USC00043551 , GRANT GROVE ,36.7394,-118.9631, Hume , CA , United States
USC00043578 , GRATON ,38.4306,-122.8647, Sebastopol , CA , United States
USC00043710 , HAIWEE ,36.1389,-117.9528, Olancha , CA , United States
USC00043714 , HALF MOON BAY ,37.4725,-122.4433, Half Moon Bay , CA , United States
USC00043747 , HANFORD 1 S ,36.3158,-119.6369, Hanford , CA , United States
USC00043761 , HAPPY CAMP RS ,41.8042,-123.3758, Happy Camp , CA , United States
USC00043824 , HAT CREEK ,40.9317,-121.5433, Cassel , CA , United States
USC00043855 , HAYFIELD PUMPING PLT ,33.7044,-115.6289, Desert Center , CA , United States
USC00043914 , HENSHAW DAM ,33.2372,-116.7614, Santa Ysabel , CA , United States
USC00044211 , IDYLLWILD FIRE DEPT ,33.7572,-116.7067, Idyllwild-Pine Cove , CA , United States
USC00044259 , INDIO FIRE STN ,33.7086,-116.2153, Indio , CA , United States
USC00044297 , IRON MTN ,34.1472,-115.1219, Twentynine Palms , CA , United States
USC00044374 , JESS VALLEY ,41.2683,-120.2947, Likely , CA , United States
USC00044500 , KENTFIELD ,37.9567,-122.5447, Kentfield , CA , United States
USC00044555 , KING CITY ,36.2069,-121.1378, King City , CA , United States
USC00044838 , LAVA BEDS NM ,41.7019,-121.5011,  , CA , United States
USC00044890 , LEMON COVE ,36.3817,-119.0264, Lemon Cove , CA , United States
USC00044997 , LIVERMORE ,37.6922,-121.7692, Livermore , CA , United States
USC00045064 , LOMPOC ,34.6539,-120.4514, Lompoc , CA , United States
USC00045118 , LOS BANOS ,37.0564,-120.8667, Los Banos , CA , United States
USC00045123 , LOS GATOS ,37.2319,-121.9592, Los Gatos , CA , United States
USC00045233 , MADERA ,36.9539,-120.0378, Madera , CA , United States
USC00045311 , MANZANITA LAKE ,40.5411,-121.5767,  , CA , United States
USC00045449 , MC CLOUD ,41.2514,-122.1383, McCloud , CA , United States
USC00045502 , MECCA FIRE STN ,33.5714,-116.0767, Mecca , CA , United States
USC00045532 , MERCED ,37.2858,-120.5117, Merced , CA , United States
USC00045866 , MORRO BAY FIRE DEPT ,35.3672,-120.8456, Morro Bay , CA , United States
USC00045915 , MT DIABLO JUNCTION ,37.8792,-121.9303, Walnut Creek , CA , United States
USC00045933 , MT HAMILTON ,37.3436,-121.6425, Mount Hamilton , CA , United States
USC00046006 , MT WILSON CBS ,34.2308,-118.0711,  , CA , United States
USC00046074 , NAPA STATE HOSPITAL ,38.2778,-122.2647, Napa , CA , United States
USC00046136 , NEVADA CITY ,39.2467,-121.0008, Nevada City , CA , United States
USC00046175 , NEWPORT BEACH HARBOR ,33.6025,-117.8803, Newport Beach , CA , United States
USC00046252 , NORTH FORK RS ,37.2328,-119.5097, North Fork , CA , United States
USC00046377 , OCEANSIDE MARINA ,33.2097,-117.395, Oceanside , CA , United States
USC00046399 , OJAI ,34.4478,-119.2275, Ojai , CA , United States
USC00046506 , ORLAND ,39.7458,-122.1997, Orland , CA , United States
USC00046508 , ORLEANS ,41.3089,-123.5317, Somes Bar , CA , United States
USC00046624 , PALMDALE ,34.5883,-118.0939, Palmdale , CA , United States
USC00046635 , PALM SPRINGS ,33.8275,-116.5097, Palm Springs , CA , United States
USC00046657 , PALOMAR MTN OBSVTRY ,33.3781,-116.84, Warner Springs , CA , United States
USC00046699 , PARKER RSVR ,34.2903,-114.1708, Parker Dam , CA , United States
USC00046719 , PASADENA ,34.1483,-118.1447, Pasadena , CA , United States
USC00046730 , PASO ROBLES ,35.6278,-120.6856, Paso Robles , CA , United States
USC00046826 , PETALUMA AIRPORT ,38.2578,-122.6078, Petaluma , CA , United States
USC00046926 , PINNACLES NM ,36.4819,-121.1822,  , CA , United States
USC00046943 , PISMO BEACH ,35.1597,-120.6831, Pismo Beach , CA , United States
USC00046962 , PLACERVILLE IFG ,38.7333,-120.7333, Placerville , CA , United States
USC00047050 , POMONA/FAIRPLEX ,34.0817,-117.7658, Pomona , CA , United States
USC00047085 , PORTOLA ,39.8053,-120.4719, Portola , CA , United States
USC00047109 , POTTER VALLEY P H ,39.3619,-123.1286, Potter Valley , CA , United States
USC00047253 , RANDSBURG ,35.3692,-117.6525, Randsburg , CA , United States
USC00047306 , REDLANDS ,34.0528,-117.1894, Redlands , CA , United States
USC00047339 , REDWOOD CITY ,37.4767,-122.2386, Redwood City , CA , United States
USC00047470 , RIVERSIDE FIRE STN 3 ,33.9511,-117.3881, Riverside , CA , United States
USC00047643 , SAINT HELENA ,38.5067,-122.4714, Saint Helena , CA , United States
USC00047668 , SALINAS #2 ,36.6594,-121.6664, Salinas , CA , United States
USC00047767 , SAN FRANCISCO OCEANSD ,37.7281,-122.5053, San Francisco , CA , United States
USC00047785 , SAN GABRIEL FIRE DEPT ,34.1061,-118.1, San Gabriel , CA , United States
USC00047851 , SAN LUIS OBISPO POLY U ,35.3056,-120.6619, San Luis Obispo , CA , United States
USC00047888 , SANTA ANA FIRE STN ,33.7442,-117.8667, Santa Ana , CA , United States
USC00047902 , SANTA BARBARA ,34.4167,-119.6844, Santa Barbara , CA , United States
USC00047916 , SANTA CRUZ ,36.9906,-121.9911, Santa Cruz , CA , United States
USC00048045 , SCOTIA ,40.4831,-124.1036, Scotia , CA , United States
USC00048135 , SHASTA DAM ,40.7142,-122.4161, Shasta Lake , CA , United States
USC00048218 , SIERRAVILLE RS ,39.5833,-120.3706, Sierraville , CA , United States
USC00048351 , SONOMA ,38.2994,-122.4622, Sonoma , CA , United States
USC00048380 , SO ENTR YOSEMITE NP ,37.5072,-119.6331, Fish Camp , CA , United States
USC00048560 , STOCKTON FIRE STA 4 ,37.9994,-121.3178, Stockton , CA , United States
USC00048587 , STONY GORGE RSVR ,39.5861,-122.5342, Elk Creek , CA , United States
USC00048606 , STRAWBERRY VALLEY ,39.5631,-121.1078, Strawberry Valley , CA , United States
USC00048702 , SUSANVILLE 2SW ,40.4167,-120.6631, Susanville , CA , United States
USC00048758 , TAHOE CITY ,39.1678,-120.1428, Tahoe City , CA , United States
USC00048839 , TEJON RANCHO ,35.0233,-118.7497, Arvin , CA , United States
USC00048999 , TRACY CARBONA ,37.6819,-121.3467, Tracy , CA , United States
USC00049001 , TRACY PUMPING PLT ,37.7967,-121.5828, Byron , CA , United States
USC00049035 , TRONA ,35.7636,-117.3908, Searles Valley , CA , United States
USC00049099 , TWENTYNINE PALMS ,34.1281,-116.0369, Twentynine Palms , CA , United States
USC00049152 , U C L A ,34.0697,-118.4428, Los Angeles , CA , United States
USC00049325 , VICTORVILLE PUMP PT ,34.535,-117.3058, Victorville , CA , United States
USC00049367 , VISALIA ,36.3283,-119.2992, Visalia , CA , United States
USC00049378 , VISTA 2 NNE ,33.2294,-117.2269, Vista , CA , United States
USC00049473 , WATSONVILLE WTR WKS ,36.9308,-121.7692, Watsonville , CA , United States
USC00049490 , WEAVERVILLE ,40.7222,-122.9331, Junction City , CA , United States
USC00049699 , WILLOWS 6 W ,39.5231,-122.3058, Willows , CA , United States
USC00049742 , WINTERS ,38.5253,-121.9778, Winters , CA , United States
USC00049781 , WOODLAND 1 WNW ,38.6828,-121.7942, Woodland , CA , United States
USC00049785 , WOODLAND HLS PIERCE CL ,34.1819,-118.5744, Los Angeles , CA , United States
USC00049855 , YOSEMITE PARK HQ ,37.75,-119.5897, Yosemite Valley , CA , United States
USC00049866 , YREKA ,41.7036,-122.6408, Yreka , CA , United States
USC00050109 , AKRON 4 E ,40.155,-103.1417, Akron , CO , United States
USC00050214 , ALTENBERN ,39.5008,-108.3794, De Beque , CO , United States
USC00050454 , BAILEY ,39.4047,-105.4767, Bailey , CO , United States
USC00050834 , BONNY DAM 2NE ,39.6567,-102.1192, Idalia , CO , United States
USC00051071 , BUENA VISTA 2S ,38.8247,-106.1275, Buena Vista , CO , United States
USC00051179 , BYERS 5 ENE ,39.7403,-104.1275, Byers , CO , United States
USC00051294 , CANON CITY ,38.46,-105.2256, CaÌ±on City , CO , United States
USC00051458 , CENTER 4 SSW ,37.7067,-106.1444, Center , CO , United States
USC00051528 , CHEESMAN ,39.2203,-105.2783, Sedalia , CO , United States
USC00051564 , CHEYENNE WELLS ,38.8219,-102.3508, Cheyenne Wells , CO , United States
USC00051713 , COCHETOPA CREEK ,38.4461,-106.7611, Gunnison , CO , United States
USC00051772 , COLORADO NM ,39.1014,-108.7339, Grand Junction , CO , United States
USC00051886 , CORTEZ ,37.3444,-108.5931, Cortez , CO , United States
USC00051959 , CRESTED BUTTE ,38.8739,-106.9769, Crested Butte , CO , United States
USC00052184 , DEL NORTE 3ENE ,37.6908,-106.3083, Del Norte , CO , United States
USC00052281 , DILLON 1 E ,39.6261,-106.0353, Dillon , CO , United States
USC00052446 , EADS ,38.4758,-102.7769, Eads , CO , United States
USC00052932 , FLAGLER 1S ,39.2814,-103.0614, Flagler , CO , United States
USC00053005 , FT COLLINS ,40.6147,-105.1314, Fort Collins , CO , United States
USC00053016 , FT LEWIS ,37.2308,-108.0514, Hesperus , CO , United States
USC00053038 , FT MORGAN ,40.26,-103.8156, Fort Morgan , CO , United States
USC00053246 , GATEWAY ,38.6825,-108.9722, Gateway , CO , United States
USC00053359 , GLENWOOD SPGS #2 ,39.5181,-107.3172, Glenwood Springs , CO , United States
USC00053496 , GRAND LAKE 1 NW ,40.2669,-105.8322, Grand Lake , CO , United States
USC00053500 , GRAND LAKE 6 SSW ,40.185,-105.8667, Grand Lake , CO , United States
USC00053541 , GREAT SAND DUNES NM ,37.7333,-105.5119,  , CO , United States
USC00053662 , GUNNISON 3SW ,38.5253,-106.9672, Gunnison , CO , United States
USC00053867 , HAYDEN ,40.4928,-107.2547, Hayden , CO , United States
USC00053951 , HERMIT 7 ESE ,37.7717,-107.1097, Creede , CO , United States
USC00054076 , HOLLY ,38.0517,-102.1317, Holly , CO , United States
USC00054388 , JOHN MARTIN DAM ,38.0633,-102.9297,  , CO , United States
USC00054413 , JULESBURG ,40.9867,-102.2706, Julesburg , CO , United States
USC00054452 , KASSLER ,39.49,-105.0953, Littleton , CO , United States
USC00054603 , KIT CARSON ,38.7658,-102.8031, Kit Carson , CO , United States
USC00054770 , LAMAR ,38.0936,-102.6306, Lamar , CO , United States
USC00054834 , LAS ANIMAS ,38.0636,-103.2153, Las Animas , CO , United States
USC00054945 , LEROY 9 WSW ,40.4897,-103.0822, Sterling , CO , United States
USC00055322 , MANASSA ,37.1742,-105.9392, Manassa , CO , United States
USC00055446 , MAYBELL ,40.5158,-108.0947,  , CO , United States
USC00055484 , MEEKER ,40.0358,-107.9058, Meeker , CO , United States
USC00055531 , MESA VERDE NP ,37.1986,-108.4883, Mesa Verde National Park , CO , United States
USC00055706 , MONTE VISTA 2W ,37.5811,-106.1872, Monte Vista , CO , United States
USC00055722 , MONTROSE #2 ,38.4858,-107.8792, Montrose , CO , United States
USC00056266 , PALISADE ,39.1136,-108.3506, Palisade , CO , United States
USC00056306 , PAONIA 1 SW ,38.8522,-107.6236, Paonia , CO , United States
USC00056832 , RANGELY 1 E ,40.0894,-108.7717, Rangely , CO , United States
USC00057167 , ROCKY FORD 2 SE ,38.0392,-103.6933, Rocky Ford , CO , United States
USC00057287 , RUSH 1N ,38.8611,-104.0939, Rush , CO , United States
USC00057309 , RUXTON PARK ,38.8417,-104.9742,  , CO , United States
USC00057515 , SEDGWICK 5 S ,40.8592,-102.5167, Sedgwick , CO , United States
USC00057936 , STEAMBOAT SPRINGS ,40.4883,-106.8233, Steamboat Springs , CO , United States
USC00058064 , SUGARLOAF RSVR ,39.2494,-106.3714, Leadville , CO , United States
USC00058157 , TACONY 13 SE ,38.3422,-104.0567, Olney Springs , CO , United States
USC00058184 , TAYLOR PARK ,38.8183,-106.6086,  , CO , United States
USC00058429 , TRINIDAD ,37.1786,-104.4869, Trinidad , CO , United States
USC00058582 , VALLECITO DAM ,37.3842,-107.5822, Bayfield , CO , United States
USC00058756 , WALDEN ,40.7442,-106.2792, Walden , CO , United States
USC00058781 , WALSENBURG 1 NW ,37.6303,-104.7956, Walsenburg , CO , United States
USC00058839 , WATERDALE ,40.4256,-105.2103, Loveland , CO , United States
USC00058931 , WESTCLIFFE ,38.1311,-105.4661, Westcliffe , CO , United States
USC00059243 , WRAY ,40.0714,-102.2325, Wray , CO , United States
USC00059265 , YAMPA ,40.1561,-106.9092, Yampa , CO , United States
USC00059295 , YUMA ,40.1236,-102.7217, Yuma , CO , United States
USC00062658 , FALLS VILLAGE ,41.95,-73.3667, Canaan , CT , United States
USC00064767 , MIDDLETOWN 4 W ,41.55,-72.7167, Middletown , CT , United States
USC00065445 , NORFOLK 2 SW ,41.9725,-73.2208, Norfolk , CT , United States
USC00065910 , NORWICH PUB UTILITY PLANT ,41.5269,-72.0642, Norwich , CT , United States
